restaurant,address,zip_code,geo_coordinates_search,lon,lat,neighborhood,match_type,distance_m
Berri Berri Smoothies & Juice Bar,755 Westside Ave,7306,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Dunkin Donuts,402 Grand St,7302,"40.71703101,-74.05229908",-74.05229908,40.71703101,Bates,within,0.0
Bistro La Source,85 Morris St,7306,"40.7137097,-74.0377599",-74.0377599,40.7137097,Palus Hook,within,0.0
Jollibee,393 Danforth Ave,7305,"40.70225193,-74.09636979",-74.09636979,40.70225193,Our Lady of Mercy,within,0.0
Mezcal Kitchen JC,665 Newark Ave,7306,"40.73466911,-74.05923206",-74.05923206,40.73466911,Journal Square,within,0.0
Milk Sugar Love - Hamilton Park,19 McWilliams Pl,7302,"40.72747807,-74.04407868",-74.04407868,40.72747807,Hamilton Park,within,0.0
Milk Sugar Love - The Heights,394 Palisade Ave,7307,"40.74208839,-74.04541474",-74.04541474,40.74208839,Washington Village,within,0.0
Neptune Cafe,1597 John F. Kennedy Blvd,7305,"40.69635436,-74.09844835",-74.09844835,40.69635436,Our Lady of Mercy,within,0.0
O Kafe,230 Pavonia Ave,7302,"40.72783946,-74.04624563",-74.04624563,40.72783946,Hamilton Park,within,0.0
Oâ€™Learys Publik House,778 Garfield Ave,7305,"40.70627418,-74.07336128",-74.07336128,40.70627418,Canal Crossing,within,0.0
Ocean Halal Pizza,415 Ocean Ave,7304,"40.70090014,-74.08320962",-74.08320962,40.70090014,Jackson Hill,within,0.0
Pokay,283 Newark Ave,7302,"40.72344842,-74.04978156",-74.04978156,40.72344842,Village,within,0.0
Short Grain,183 Montgomery St,7302,"40.71730292,-74.04293647",-74.04293647,40.71730292,Van Vorst Park,within,0.0
Two Boots Pizza,133 Newark Ave,7302,"40.72035751,-74.04386391",-74.04386391,40.72035751,Van Vorst Park,within,0.0
Basic Cafe,231 8th St,7307,"40.72668229,-74.04356692",-74.04356692,40.72668229,Hamilton Park,within,0.0
El Paradero Restaurant,3196 Kennedy Blvd,7306,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Salt and Seed,210 Hudson St,7302,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
The Iron Monkey,(201) 435-5756,7302,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Cherryâ€™s Lounge,102 Martin Luther King Dr.,7310,"40.70354744,-74.08754791",-74.08754791,40.70354744,Jackson Hill,within,0.0
Daily Grind Express,352 West Side Ave,7305,"40.71394328,-74.08883484",-74.08883484,40.71394328,State College,within,0.0
Hudson Vine,1 2nd St,7302,"40.7217471,-74.03640723",-74.03640723,40.7217471,Powerhouse,within,0.0
The Big Straw,276 First St,7302,"40.72206819,-74.04651347",-74.04651347,40.72206819,Harsimus Cove,within,0.0
The Hutton,225 Hutton St,7307,"40.74698774,-74.05589182",-74.05589182,40.74698774,Hudson City,within,0.0
Tribos Peri Peri,109 Christopher Columbus Dr,7302,"40.7169139,-74.03363708",-74.03363708,40.7169139,Exchange Place,within,0.0
WÃ¼rstbar,516 Jersey Ave,7302,"40.72048089,-74.04668682",-74.04668682,40.72048089,Van Vorst Park,within,0.0
Xpress Kitchen,99 Franklin St,7307,"40.74235892,-74.04919235",-74.04919235,40.74235892,Waverly,within,0.0
